epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8494,1.3845,3.15695,1.28357,0.31599,0.19678,0.10068,0.0643,1.22319,2.82165,1.37744,0.000368642,0.000368642,0.000368642
2,135.76,1.44898,2.63822,1.31653,0.31473,0.18684,0.08557,0.05186,1.37824,2.66391,1.48524,0.000702396,0.000702396,0.000702396
3,200.366,1.46311,2.43668,1.33777,0.32628,0.16243,0.08398,0.05092,1.3636,2.69455,1.48077,0.000999487,0.000999487,0.000999487
4,265.029,1.48743,2.35152,1.34902,0.34212,0.19059,0.12206,0.07839,1.25729,2.27041,1.37548,0.000946016,0.000946016,0.000946016
5,329.667,1.426,2.21655,1.31486,0.35182,0.20163,0.13021,0.08489,1.23886,2.20541,1.34239,0.000891022,0.000891022,0.000891022
6,394.439,1.3753,2.1192,1.29783,0.34911,0.20085,0.119,0.07746,1.18263,2.23861,1.33657,0.000836027,0.000836027,0.000836027
7,458.471,1.36208,2.07376,1.28099,0.17382,0.17343,0.1344,0.0903,1.15722,2.0951,1.30452,0.000781033,0.000781033,0.000781033
8,522.511,1.32918,2.00624,1.25658,0.34869,0.20869,0.13328,0.09095,1.16064,2.11376,1.31385,0.000726038,0.000726038,0.000726038
9,586.97,1.30286,1.94573,1.23119,0.39556,0.20396,0.14435,0.0982,1.11598,2.06557,1.28225,0.000671044,0.000671044,0.000671044
10,651.81,1.28831,1.9053,1.23051,0.3803,0.21112,0.17111,0.12056,1.07181,1.93109,1.25264,0.000616049,0.000616049,0.000616049
11,715.036,1.27166,1.88504,1.19813,0.40038,0.21579,0.17471,0.12191,1.08015,1.90942,1.25057,0.000561055,0.000561055,0.000561055
12,776.29,1.23492,1.81215,1.17727,0.41692,0.2332,0.17776,0.1242,1.02985,1.8911,1.20615,0.00050606,0.00050606,0.00050606
13,837.308,1.20929,1.76193,1.16356,0.38084,0.26122,0.16442,0.11607,1.03047,1.99837,1.22266,0.000451066,0.000451066,0.000451066
14,897.676,1.18273,1.70014,1.14557,0.39077,0.25319,0.1909,0.13711,1.01787,1.81564,1.19537,0.000396071,0.000396071,0.000396071
15,957.973,1.15832,1.6062,1.11911,0.39538,0.2655,0.19802,0.14039,1.00131,1.79044,1.17882,0.000341077,0.000341077,0.000341077
16,1020.25,1.13356,1.56638,1.10395,0.415,0.25156,0.1975,0.14224,0.97816,1.76443,1.19051,0.000286083,0.000286083,0.000286083
17,1080.98,1.10785,1.50052,1.08965,0.44365,0.2401,0.20004,0.14441,0.96412,1.7674,1.16532,0.000231088,0.000231088,0.000231088
18,1141.09,1.10557,1.45305,1.0892,0.43886,0.24536,0.20552,0.14917,0.93068,1.79011,1.14647,0.000176094,0.000176094,0.000176094
19,1202.23,1.07295,1.40532,1.07049,0.43006,0.26942,0.20757,0.14979,0.9394,1.78663,1.14798,0.000121099,0.000121099,0.000121099
20,1263.94,1.07254,1.36194,1.07037,0.24076,0.25684,0.20349,0.14683,0.92703,1.78179,1.14709,6.61045e-05,6.61045e-05,6.61045e-05
